ThreadCount,SyncType,ThreadType,ArraySize,RealTime,AvgSwapTime,OutputMismatch
1,Null,Platform,5,1.19539,11.9539,
1,Null,Platform,100,1.27416,12.7416,
1,Null,Virtual,5,1.19105,11.9105,
1,Null,Virtual,100,1.38603,13.8603,
8,Null,Platform,5,0.405685,32.4548,
8,Null,Platform,100,0.439449,35.1559,
8,Null,Virtual,5,0.435294,34.8235,
8,Null,Virtual,100,0.462872,37.0297,
40,Null,Platform,5,0.802749,321.100,
40,Null,Platform,100,0.593451,237.380,
40,Null,Virtual,5,0.456143,182.457,
40,Null,Virtual,100,0.480887,192.355,
1,Synchronized,Platform,5,3.29668,32.9668,
1,Synchronized,Platform,100,3.26494,32.6494,
1,Synchronized,Virtual,5,3.41661,34.1661,
1,Synchronized,Virtual,100,3.30896,33.0896,
8,Synchronized,Platform,5,4.90727,392.581,
8,Synchronized,Platform,100,3.60531,288.425,
8,Synchronized,Virtual,5,12.1466,971.730,
8,Synchronized,Virtual,100,9.79188,783.350,
40,Synchronized,Platform,5,8.34656,3338.62,
40,Synchronized,Platform,100,3.39594,1358.38,
40,Synchronized,Virtual,5,10.1352,4054.07,
40,Synchronized,Virtual,100,6.64353,2657.41,
1,Unsynchronized,Platform,5,1.33131,13.3131,
1,Unsynchronized,Platform,100,1.31617,13.1617,
1,Unsynchronized,Virtual,5,1.32870,13.2870,
1,Unsynchronized,Virtual,100,1.54243,15.4243,
8,Unsynchronized,Platform,5,2.23503,178.802,mismatch
8,Unsynchronized,Platform,100,3.52956,282.365,mismatch
8,Unsynchronized,Virtual,5,3.58396,286.717,mismatch
8,Unsynchronized,Virtual,100,3.59112,287.289,mismatch
40,Unsynchronized,Platform,5,2.11356,845.423,mismatch
40,Unsynchronized,Platform,100,3.69501,1478.00,mismatch
40,Unsynchronized,Virtual,5,3.71871,1487.49,mismatch
40,Unsynchronized,Virtual,100,3.72074,1488.29,mismatch
